EDR#,CIL#,Varone #,Langner #,Regio.Insula.Door ,Text of Inscription ,Caption for graffito,Translation,Commentary ,AGP = Update of CIL?,Contributors,,,,,,,,,,,
EDR168019,9292,,,,"<:columna 1>
A
<:columna 2, ad perpendiculum>
ABCD
",Alphabet,,,,,,,,,,"Not. Sc., 64, 1939, p. 283, nr. 271 (M. Della Corte) (1)<br>CIL 04, 09292 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma  2012, vol. II, p. 523 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168019 (4)",,,,,
EDR168304,9293,,,,"AB
P̲",Alphabet,,,,,,,,,,"Not. Sc., 64, 1939, p. 291, nr. 325 (M. Della Corte) (1)<br>CIL 04, 09293 (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168304 (3)",,,,,
EDR168341,9294,,,col. CV,,Alphabet,,,,,,,,,,,,,,,
EDR168341,9294,,,,ABCDEFGḤỊKOPQRTVX,Alphabet,,,,,,,,,,"Not. Sc., 64, 1939, p. 292, nr. 335 (M. Della Corte) (1)<br>CIL 04, 09294 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. II, p. 524 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168341 (4)",,,,,
EDR167442,9295,a,,col. CXIV,,Alphabet,Beginning of alphabet,,,,,,,,,,,,,,
EDR167443,9295,b,,col. CXIV,,Alphabet,Alphabet,,,,,,,,,,,,,,
EDR180209,,,,,Paris v̂a(le),Greetings to Paris,"Bye, Paris",,,,,,,,,"CIL 04, 08484a (1)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR180209 (2)",,,,,
EDR180340,,,,,Paris v̂a(le),Greetings to Paris,"Bye, Paris",,,,,,,,,"CIL 04, 08484b (1)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR180340 (2)",,,,,
EDR180341,,,,,Vitalio,Graffito naming Vitalio,Vitalio,,,,,,,,,"CIL 04, 08484c (1)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR180341 (2)",,,,,
EDR128756,,,,,Sev+,Graffito,Beginning of name? (Severus),,,,,,,,,"Not. Sc., 64, 1939, p. 243, nr. 14 (M. Della Corte) (1)<br>CIL 04, 08530a con apografo (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 119 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128756 (4)",,,,,
EDR128758,,,,,SE,Graffito,SE,,,,,,,,,"Not. Sc., 64, 1939, p. 243, nr. 15 (M. Della Corte) (1)<br>CIL 04, 08530b (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 119 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128758 (4)",,,,,
EDR128761,,,,,〈:textus non legitur〉,Graffito,(Incomprehensible series of characters),,,,,,,,,"Not. Sc., 64, 1939, p. 247, nr. 30a e p. 246 con apografo  (M. Della Corte) (1)<br>CIL 04, 08546a con apografo (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 126 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128761 (4)",,,,,
EDR128762,,,,,"Cạlistus (:Callistus)
hic lusit
cụm",Graffito about ?,Callistus played here with,,,,,,,,,"Not. Sc., 64, 1939, p. 246, nr. 30  (M. Della Corte) (1)<br>CIL 04, 08546b (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 126 con fotos (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128762 (4)",,,,,
EDR128293,,,,,C(aius) T(---?) Lux,Graffito,C. T. Lux,,,,,,,,,"Not. Sc., 64, 1939, p. 246, nr. 32  (M. Della Corte) (1)<br>CIL 04, 08547a con apografo (2)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 127, con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128293 (4)",,,,,
EDR167625,,,,,〈:textus non legitur〉,Graffito,(Incomprehensible series of characters),,,,,,,,,"Not. Sc., 64, 1939, p. 246, nr. 32  (M. Della Corte) (1)<br>CIL 04, 08547b con apografo (2)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 127 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167625 (4)",,,,,
EDR128769,,,,,"〈:ad perpendiculum〉
V̂BB",Initials?,VBB,,,,,,,,,"Not. Sc., 64, 1939, p. 247, nr. 33  (M. Della Corte) (1)<br>CIL 04, 08548a con apografo (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 127 con fotos (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128769 (4)",,,,,
EDR128770,,,,,C(aius) T(---?) Lux,Graffito,C. T. Lux,,,,,,,,,"Not. Sc., 64, 1939, p. 247, nr. 33  (M. Della Corte) (1)<br>CIL 04, 08548b (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 128 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128770 (4)",,,,,
EDR128772,,,,,VA (:vale),Greetings,Bye!,,,,,,,,,"Not. Sc., 64, 1939, p. 247, nr. 34  (M. Della Corte) (1)<br>CIL 04, 08549a (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 128 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128772 (4)",,,,,
EDR128773,,,,,RV7I (:Rufi?),Graffito,Of Rufus(?),,,,,,,,,"Not. Sc., 64, 1939, p. 247, nr. 35  (M. Della Corte) (1)<br>CIL 04, 08549b (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 128 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128773 (4)",,,,,
EDR127415,,,,,"〈:stria 8〉
X

〈:stria 11〉
G
G",Graffito,(Individual letters),,,,,,,,,"Not. Sc., 64, 1939, p. 247, nr. 38  (M. Della Corte) (1)<br>CIL 04, 08553a (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 130 con fotos (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127415 (4)",,,,,
EDR167574,,,,,"Pompe〈:vacat〉 IV a(ssibus) III S(emis)
P(ondo?) lard(i) a(ssibus) III
Vinum a(sse) S(emis)
Casium a(sse) S(emis)
Oleum a(sse) I
Panem a(ssibus) I S(emis)
Suar(ium?) a(ssibus) IIII",Graffito listing food and prices,"At Pompeii ? 4(??), 3 1/2 asses (?), a pound of lard - 3 asses (small coins), wine - 1/2 as, cheese - 1/2 as, oil - 1 as, bread - 1 1/2 asses, suet/pork? - 4 asses.",,,,,,,,,"Not. Sc., 64, 1939, p. 250, nr. 51 con apografo (M. Della Corte) (1)<br>CIL 04, 08561a con apografo (2)<br>A. Varone, Erotica Pompeiana: iscrizioni d'amore sui muri di Pompei, Rome 1994, p. 136 (3)<br>Food & History, 5.1, 2007, p. 181, 195 (N. Monteix) (4)<br>Rev. Belg. Arch., 91.1, 2013, p. 155-156, 162 (M. Bailey) (5)<br>C. Holleran, Shopping in Ancient Rome: The Retail Trade in the Late Republic, Oxford 2012, p. 210 (6)<br>A. Cooley and M. Cooley, Pompeii and Herculaneum: a Sourcebook (2 ed.), New York 2014, p. 240, nr. H27, traduzione inglese (7)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167574 (8)",,,,,
EDR128290,,,,,〈:textus non legitur〉,Graffito,(Incomprehensible series of characters),,,,,,,,,"Not. Sc., 64, 1939, p. 250, nr. 50 (M. Della Corte) (1)<br>CIL 04, 08561b (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128290 (3)",,,,,
EDR127829,,,,,Menedemeru(menus),Wordplay,,,,,,,,,,"Not. Sc., 64, 1939, p. 251, nr. 55 (M. Della Corte) (1)<br>CIL 04, 08564a (2)<br>Tyche, 27, 2012, p. 104 (P. Kruschwitz, V. Campbell, and M. Nicholls) (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127829 (4)",,,,,
EDR127830,,,,,Menedemerumenus,Wordplay,,,,,,,,,,"Not. Sc., 64, 1939, p. 251, nr. 56 (M. Della Corte) (1)<br>CIL 04, 08564b (2)<br>Tyche, 27, 2012, p. 104 (P. Kruschwitz, V. Campbell, and M. Nicholls) (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127830 (4)",,,,,
EDR127831,,,,,VR,Graffito,,,,,,,,,,"Not. Sc., 64, 1939, p. 251, nr. 57 (M. Della Corte) (1)<br>CIL 04, 08564c (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127831 (3)",,,,,
EDR128660,,,,,Dos I a(ssis),Graffito mentioning money,Give (Greek imperative!) one as (small coin),,,,,,,,,"Not. Sc., 64, 1939, p. 251, nr. 58 (M. Della Corte) (1)<br>CIL 04, 08564d (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128660 (3)",,,,,
EDR128661,,,,,"Atilius a(ssem) I
Atilius a(ssem) I
Atilius a(ssem) I",Graffito mentioning money,"Atilius 1 as (small coin), Atilius 1 as, Atilius 1 as",,,,,,,,,"Not. Sc., 64, 1939, p. 252, nr. 59 (M. Della Corte) (1)<br>CIL 04, 08565a (2)<br>A. Cooley and M. Cooley, Pompeii and Herculaneum: a Sourcebook (2 ed.), New York 2014, p. 265, nr. H76 (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128661 (4)",,,,,
EDR128733,,,,,"Albanụ[s] a(ssem) I
Ạlbanus a(ssem) I
[A]ḷbanus a(ssem) I
A[lb]anus a(sses) II
Agathẹ[m]er(us) a(sses) II
Acatheṃẹr(us) (:Agathemerus) a(ssem) I
Acanthus",Graffito mentioning money,"Albanus - 1 as (small coin), Albanus - 1 as, Albanus - 1 as, Albanus - 1 as, Agathemerus - 2 asses (coins), Agathemerus - 1 as, Acanthus",,,,,,,,,"Not. Sc., 64, 1939, p. 252, nr. 60 (M. Della Corte) (1)<br>CIL 04, 08565b con apografo (2)<br>A. Cooley and M. Cooley, Pompeii and Herculaneum: a Sourcebook (2 ed.), New York 2014, p. 265, nr. H76 (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128733 (4)",,,,,
EDR127828,,,,,"Numina
Di
",Graffito ,"Deities, gods",,,,,,,,,"Not. Sc., 64, 1939, p. 252, nr. 61 (M. Della Corte) (1)<br>CIL 04, 08566a (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127828 (3)",,,,,
EDR128734,,,,,"pane(m) a(ssibus) II
purm(entarium) a(ssibus) III
oleum a(sse) I
OXC a(ssibus) IIII
vinum a(sse) s(emis)
casium (:caseum) a(sse) s(emis)
OM+ a(ssibus) IIII
vinum a(sse) s(emis)
XI K(alendas) ac(ce)pi ((denarium)) I
vinum a(sse) I
porcin(am) a(sse) I
VIINVM (:vinum) a(sse) s(emis)
casiûm (:caseum) a(sse) s(emis)
L(ucius) Gavi+ IIII s(emis) 
vinum a(sse) s(emis)
carn(em) a(sse) I
vin[u]m a(sse) I",Graffito listing food and prices,"Bread - 2 asses (small coins), porridge - 3 asses, oil - 1 as, OXC - 4 asses, wine - 1/2 as, cheese - 1/2 as, OM+ - 4 asses, wine - 1/2 as. 11 days before the Kalends I received 1 denarius (large coin). Wine - 1 as, pork (cutlet?) - 1 as, wine - 1/2 as, cheese - 1/2 as. Lucius Gavius - 4 1/2. Wine - 1/2 as, meat - 1 as, wine - 1 as.",,,,,,,,,"Not. Sc., 64, 1939, p. 252, nr. 62 (M. Della Corte) (1)<br>CIL 04, 08566b con apografo (2)<br>Rev. Num., 6 ser., 27, 1972, p. 87 (M. Corbier) (3)<br>Food and History, 5, 2007, pgs. 181-82 (N. Monteix (4)<br>C. Holleran, Shopping in Ancient Rome: The Retail Trade in the Latin Republic and the Principate, Oxford 2012, p. 210 (5)<br>Rev. Belg. Num., 91, 2013, p. 162 (M. Bailey) (6)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128734 (7)",,,,,
EDR127419,,,,,X,Roman numerals,"""10""",,,,,,,,,"Not. Sc., 1939, p. 259, nr. 118 (Della Corte) (1)<br>CIL 04, 08607a (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 139 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127419 (4)",,,,,
EDR127814,,,,,XVI,Roman numerals,"""16""",,,,,,,,,"Not. Sc., 64, 1939, p. 260, nr. 128 (M. Della Corte) (1)<br>CIL 04, 08616a (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127814 (3)",,,,,
EDR127816,,,,,Mystice va(le),Greetings to Mysticus,"Bye, Mysticus",,,,,,,,,"Not. Sc., 64, 1939, p. 262, nr. 131, prima parte, con apografo (M. Della Corte) (1)<br>CIL 04, 08618a (2) <br>Am. Journ. Philol., 108, 1987, p. 101 (J. Franklin) (3)<br>Women Writing Graffiti: from Roman antiquity to early modern Europe, London 2002, p. 74 (E. Woeckner) (4)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 143 con foto (5)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127816 (6)",,,,,
EDR127817,,,,,Chl · oe · va,Greetings to Chloe,"Bye, Chloe",,,,,,,,,"Not. Sc., 64, 1939, p. 262, nr. 132 (M. Della Corte) (1)<br>CIL 04, 08618b con apografo (2)<br>Am. Journ. Philol., 108, 1987, p. 100-101 (J. Franklin) (3)<br>Savunen, L. Women in the Urban Texture of Pompeii, Helsinki 1997, p. 104 (4)<br>Women Writing Graffiti: from Roman antiquity to early modern Europe, London 2002, p. 74 (E. Woeckner) (5)<br>Riv. Stud. Pomp., 16, 2005, p. 101 (A. Varone) (6)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 143 con foto (7)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127817 (8)",,,,,
EDR127818,,,,,〈:textus non legitur〉,Graffito,(Incomprehensible series of characters),,,,,,,,,"Not. Sc., 64, 1939, p. 262, nr. 131, seconda parte, con apografo (M. Della Corte) (1)<br>CIL 04, 08618c con apografo (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 143 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127818 (4)",,,,,
EDR127820,,,,,"Aristo
Tosori (:Tonsori?)
",Graffito about a barber?,"Aristo, to the barber",,,,,,,,,"Not. Sc., 64, 1939, p. 262, nr. 134 (M. Della Corte) (1)<br>CIL 04, 08619a (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 143 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127820 (4)",,,,,
EDR127823,,,,,"Sautran(e)
v̂a(le)",Greetings to Saturanus(?),"Bye, Saturanus(?)",,,,,,,,,"CINot. Sc., 64, 1939, p. 263, nr. 137  (M. Della Corte) (1)<br>CIL 04, 08622a (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 144 con apografi (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127823 (4)",,,,,
EDR127824,,,,,Sautran(e) vale,Greetings to Saturanus(?),"Bye, Saturanus(?)",,,,,,,,,"Not. Sc., 64, 1939, p. 263, nr. 141 con foto  (M. Della Corte) (1)<br>CIL 04, 08622b (2), <br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 144 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127824 (4)",,,,,
EDR127826,,,,,Prima,Graffito naming Prima,Prima,,,,,,,,,"Not. Sc., 64, 1939, p. 266, nr. 143 (M. Della Corte) (1)<br>CIL 04, 08624a (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 145 con apgrafo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127826 (4)",,,,,
EDR127827,,,,,"nec Phrygas (:Phryges)
extabant. Quid
agit apex
dester (:dexter)",Poetic graffito?,Nor were the Phyrgians (visible? prominent? existing?). How's your right (apex?) doing?,,,,,,,,,"Not. Sc., 64, 1939, p. 266, nr. 144 con apografo (M. Della Corte) (1)<br>CIL 04, 08624b con apografo (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 145 con apografo et foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127827 (4)",,,,,
EDR127140,,,,,"Nonnius


",Graffito naming Nonnius,Nonnius,,,,,,,,,"Not. Sc., 64, 1939, p. 267, nr. 145 (M. Della Corte) (1)<br>CIL 04, 08625a (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127140 (3)",,,,,
EDR127231,,,,,"Inop(s) 
C(aius) · Iunius 
",Graffito naming Iunius,Gaius Iunius (is) penniless,,,,,,,,,"Not. Sc., 64, 1939, p. 267, nr. 146 (M. Della Corte) (1)<br>CIL 04, 08625b (2)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 146 con apografi (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127231 (4)",,,,,
EDR127233,,,,,"Mille meae
Siculis errant 
",Quotation from Vergil,My 1000 (lambs - not mentioned here) wander in the Sicilian...,,,,,,,,,"Not. Sc., 64, 1939, p. 267, nr. 147 (M. Della Corte) (1)<br>CIL 04, 08625c (2)<br>Présence de Virgile. Actes du Colloque des 9, 11, et 12 décembre 1976, Paris 1978, p. 94-98 (D. Joly) (3)<br>M. Gigante, Civilità della forme letterarie nell'antica Pompei, Naples 1979, p. 166 (4)<br>Ancient Literacies: The Culture of Reading in Greece and Rome, Oxford 2009, p. 316 nr. 53 (K. Milnor) (5)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 145 con foto et apografo (6)<br>A. Cooley and M. Cooley, Pompeii and Herculaneum: a Sourcebook (2 ed.), New York 2014, p. 292-293 (7)<br>K. Milnor, Graffiti and the Literary Landscape of Roman Pompeii, Oxford 2014, p. 159, 270 (8)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127233 (9)",,,,,
EDR127234,,,,,"〈:ad perpendiculum〉 
M(arcus) Atillius (:Atilius) hic stationem fecit 
",Graffito mentioning travel,Marcus Atillius made a stop here.,,,,,,,,,"Not. Sc., 64, 1939, p. 267, nr. 147 (M. Della Corte) (1)<br>CIL 04, 08625d (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127234 (3)",,,,,
EDR127428,,,,,"Eo
v̂a(le)
Chloe",Greetings to Chloe,"Hey- bye, Chloe!",,,,,,,,,"Not. Sc., 64, 1939, p. 268, nr. 150 (M. Della Corte) (1)<br>CIL 04, 08626a (2)<br>Am. Journ. Philol., 108, 1987, p. 100-101 (J. Franklin) (3)<br>Savunen, L. Women in the Urban Texture of Pompeii, Helsinki 1997, p. 104 (4)<br>Women Writing Graffiti: from Roman antiquity to early modern Europe, London 2002, p. 74 (E. Woeckner) (5)<br>Riv. Stud. Pomp., 16, 2005, p. 101 (A. Varone) (6)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 146 con apografi (7)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127428 (8)",,,,,
EDR128116,,,,,"++++
Chloe v̲̂a̲(le)",Greetings to Chloe,"Bye, Chloe",,,,,,,,,"Not. Sc., 64, 1939, p. 268, nr. 151 (M. Della Corte) (1)<br>CIL 04, 08626b con apografo (2)<br>Am. Journ. Philol., 108, 1987, p. 100-101 (J. Franklin) (3)<br>Savunen, L. Women in the Urban Texture of Pompeii, Helsinki 1997, p. 104 (4)<br>Women Writing Graffiti: from Roman antiquity to early modern Europe, London 2002, p. 74 (E. Woeckner) (5)<br>Riv. Stud. Pomp., 16, 2005, p. 101 (A. Varone) (6)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 146 con apografi (7)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128116 (8)",,,,,
EDR128117,,,,,"O HLO
âv(?)",Greetings,"Hi, Chloe(?)",,,,,,,,,"Not. Sc., 64, 1939, p. 268 (M. Della Corte) (1)<br>CIL 04, 08626c con apografo (2)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 146 con apographo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128117 (4)	<br>Textus:<br>",,,,,
EDR128118,,,,,"Chloe 
〈:vacat〉A",Graffito,Chloe,,,,,,,,,"Not. Sc., 64, 1939, p. 268, nr. 152 (M. Della Corte) (1)<br>CIL 04, 08626d (2)<br>Am. Journ. Philol., 108, 1987, p. 100-101 (J. Franklin) (3)<br>Savunen, L. Women in the Urban Texture of Pompeii, Helsinki 1997, p. 104 (4)<br>Women Writing Graffiti: from Roman antiquity to early modern Europe, London 2002, p. 74 (E. Woeckner) (5)<br>Riv. Stud. Pomp., 16, 2005, p. 101 (A. Varone) (6)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 146 con apografo (7)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128118 (8)",,,,,
EDR127145,,,,,"Iucundus fututor 


",Insult?,,,,,,,,,,"Not. Sc., 64, 1939, p. 268, nr. 153 (M. Della Corte) (1)<br>CIL 04, 08627a (2) <br>A. Varone, Erotica Pompeiana: iscrizioni d'amore sui muri di Pompei, Rome 1994, p. 81 (3)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 147 con apografi (4)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127145 (5)<br>",,,,,
EDR127242,,,,,"Lucilius 
Lucidae suae 
ubique sal(utem)",Greeting to Lucida,Lucilius greets his Lucida everywhere,,,,,,,,,"Not. Sc., 64, 1939, p. 268, nr. 154 (M. Della Corte) (1)<br>CIL 04, 08627b (2)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 147 con apografi (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127242 (4)",,,,,
EDR127414,,,,,L(ucius) · Lollius procûr(ator),Graffito naming Lollius,Lucius Lollius procurator,,,,,,,,,"Not. Sc., 64, 1939, p. 268 (M. Della Corte) (1)<br>CIL 04, 08630a (2)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 148 con apografo (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127414 (4)",,,,,
EDR159691,,,,,"Nec prius 
absistit, qua[m] 
septe(m) ingentia 
victor corpora
funda(t) hum(i)",Quotation from the Aeneid,"Nor did he stop before, as a victor, he scattered (vanquished) seven huge bodies on the ground.",,,,,,,,,"Not. Sc., 64, 1939, p. 268 (M. Della Corte) (1)<br>CIL 04, 08630b con apografo (2)<br>Epigraphica 2, 1940, p. 173, 176, con apografo (M. della Corte) (3)<br>R. P. Hoogma, Der Einfluß Vergils auf die Carmina Latina Epigraphica, Amsterdam 1959, p. 226 (4)<br>Boll. Stud. Lat. 38, 2008, p. 521 (P. Cugusi) (5)<br>Ancient Literacies: The Culture of Reading in Greece and Rome, Oxford 2009, p. 312 nr. 19 (K. Milnor) (6)<br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt, Imagines, Roma 2012, vol. I, p. 148 con foto (7)<br>A. Cooley and M. Cooley, Pompeii and Herculaneum: a Sourcebook (2 ed.), New York 2014, p. 292-293 (8)<br>K. Milnor, Graffiti and the Literary Landscape of Roman Pompeii, Oxford 2014, p. 259, 265 (9)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR159691(10)",,,,,
EDR127801,,,,,Aptus,Graffito naming Aptus,Aptus,,,,,,,,,"Not. Sc., 64, 1939, p. 269, nr. 160 (M. Della Corte) (1)<br>CIL 04, 08632a (1)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 149 con apografi (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127801 (4)",,,,,
EDR127806,,,,,Va̲l̲(ens?),Graffito naming Valens?,Val(ens?),,,,,,,,,"Not. Sc., 64, 1939, p. 269, nr. 161 (M. Della Corte) (1)<br>CIL 04, 08632b (1)<br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 149 con apografi (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127806 (4)",,,,,
EDR127808,,,,,Ṭ(itus) Ịṛṛịụṣ,Graffito naming Irrius(?),Titus Irrius,,,,,,,,,"Not. Sc., 64, 1939, p. 269, nr. 162 (M. Della Corte) (1)<br>CIL 04, 08632c con apografo (2) <br>A. Varone, Titulorum graphio exaratorum Pompeianorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 149 con apografi (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127808 (4)",,,,,
EDR127810,,,,,S H S,Graffito,(Incomprehensible series of letters),,,,,,,,,"Not. Sc., 64, 1939, p. 270, nr. 167 (M. Della Corte) (1)<br>CIL 04, 08636a con apografo (2) <br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127810 (3)",,,,,
EDR127811,,,,,Icar(us),Graffito naming Icarus,Icarus,,,,,,,,,"Not. Sc., 64, 1939, p. 270, nr. 168 (M. Della Corte) (1)<br>CIL 04, 08636b con apografo (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127811 (3)",,,,,
EDR127813,,,,,"ṚẠ
VR",Graffito,(Incomprehensible series of letters),,,,,,,,,"Not. Sc., 64, 1939, p. 270, nr. 169 (M. Della Corte) (1)<br>CIL 04, 08636c con apografo (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127813 (3)",,,,,
EDR128277,,,,,T[o]tus,Graffito,Whole,,,,,,,,,"Not. Sc., 64, 1939, p. 274, nr. 194 e p. 273 con apografo (M. Della Corte) (1)<br>CIL 04, 08656a (2) <br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128277 (3)",,,,,
